store,websites,attribute_set,type,sku,model,name,cost_price,price,special_price,categories,manufacturer,description,short_description,weight,age,gender,warranty,warranty_text,has_options,is_in_stock,qty,status,options_container,tax_class_id,visibility,Color:drop_down:1:1,Size:drop_down:1:0,image,_media_image,small_image,thumbnail,meta_description,meta_keyword
Admin,base,Default,simple,YON00001,YON00001,GR 303,675,202.5,337.5,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The set is a basic network that quickly and easily assemble and you can play right away.
Missiles are all steel, so they are vico resistant to mechanical damage and also withstand rough use.
They have a standard length, weight of each rocket is about 120 grams with strings.
Get Shuttlle Cock box free
 ",Yonex GR 303,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00001.jpg,YON00001.jpg,YON00001.jpg,YON00001.jpg,"The set is a basic network that quickly and easily assemble and you can play right away.
Missiles are all steel, so they are vico resistant to mechanical damage and also withstand rough use.
They have a standard length, weight of each rocket is about 120 grams with strings.
Get Shuttlle Cock box free
 ","Energy transfer, in every shot"
Admin,base,Default,simple,YON00002,YON00002,CS 311,,,,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Yonex CS 311 Badminton Racquet is one of the basic Racquets and comes with H.M Graphite carbon nano tube. Yonex CS 311 Badminton Racquet is Very good for the beginner level of play.,Yonex CS 311,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00002.jpg,YON00002.jpg,YON00002.jpg,YON00002.jpg,Yonex CS 311 Badminton Racquet is one of the basic Racquets and comes with H.M Graphite carbon nano tube. Yonex CS 311 Badminton Racquet is Very good for the beginner level of play.,"Yonex CS 311,Yonex Rackets"
Admin,base,Default,simple,YON00003,YON00003,B 611,965,579,772,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Not available,Yonex B 611,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00003.jpg,YON00003.jpg,YON00003.jpg,YON00003.jpg,Not available,
Admin,base,Default,simple,YON00004,YON00004,MP 2 JR,890,534,712,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Stiff  Frame: Aluminium Shaft: Steel Weight/Grip size 2U (90-94.9g) G5","Muscle Power 2 allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot",,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00004.jpg,YON00004.jpg,YON00004.jpg,YON00004.jpg,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Stiff  Frame: Aluminium Shaft: Steel Weight/Grip size 2U (90-94.9g) G5","Energy transfer, in every shot"
Admin,base,Default,simple,YON00005,YON00005,MP 2 ,1190,714,952,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Stiff  Frame: Aluminium Shaft: Steel Weight/Grip size:U (95-99.9g) G4","Muscle Power 2 allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot",,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00005.jpg,YON00005.jpg,YON00005.jpg,YON00005.jpg,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Stiff  Frame: Aluminium Shaft: Steel Weight/Grip size:U (95-99.9g) G4","Energy transfer, in every shot"
Admin,base,Default,simple,YON00006,YON00006,MP 3 ,1425,855,1140,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Medium Frame : Aluminium Shaft: Graphite Weight/Grip size:
2U (90-94.9g) G4
","Muscle Power 2 allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot",,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00006.jpg,YON00006.jpg,YON00006.jpg,YON00006.jpg,"The Muscle Power frame allows exceptionally close contact between frame and string, enhancing the transfer of energy into every shot.Flex: Medium Frame : Aluminium Shaft: Graphite Weight/Grip size:
2U (90-94.9g) G4
","Energy transfer, in every shot"
Admin,base,Default,simple,YON00007,YON00007,Cab 6000 plus,1660,996,1328,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,Carbonex series from Yonex is designed for a solid and effortless play. Cab 6000 Plus is a great badminton racket that offers good control and swing to the badminton player. Your opponent is sure to have a tough time defending your smashes.,Yonex Cab 6000 Plus,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00007.jpg,YON00007.jpg,YON00007.jpg,YON00007.jpg,Carbonex series from Yonex is designed for a solid and effortless play. Cab 6000 Plus is a great badminton racket that offers good control and swing to the badminton player. Your opponent is sure to have a tough time defending your smashes.,"Yonex Cab 600 plus, Yonex Rackets"
Admin,base,Default,simple,YON00008,YON00008,MP 600,"1,700",1020,1360,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",Yonex Muscle Power ,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00008.jpg,YON00008.jpg,YON00008.jpg,YON00008.jpg,"Muscle Power eliminates the stress-load and fatigue through contact friction

The construction creates total unity of the string and frame through closer-and-tighter contact",muscle power
Admin,base,Default,simple,YON00009,YON00009,Cab 7000 PLUS,1890,1134,1512,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"This is a very popular racket in the Carbonex series that features high stiffness, a classic head shape and a durable frame. For the entry-level, intermediate players looking for value, durability and performance in a racke, this is the perfect option. The Dura aluminum frame and graphite shaft provides high repulsion power. The balanced weight of the racket maintains good power and reduces resistance. The soft leather grip provides the best fit to the player’s hand allowing perfect movement.",Yonex Cab 7000 Plus,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00009.jpg,YON00009.jpg,YON00009.jpg,YON00009.jpg,"This is a very popular racket in the Carbonex series that features high stiffness, a classic head shape and a durable frame. For the entry-level, intermediate players looking for value, durability and performance in a racke, this is the perfect option. The Dura aluminum frame and graphite shaft provides high repulsion power. The balanced weight of the racket maintains good power and reduces resistance. The soft leather grip provides the best fit to the player’s hand allowing perfect movement.","Yonex Cab 7000, Yonex Rackets"
Admin,base,Default,simple,YON00010,YON00010,ISOMETRIC 4,,0,0,Sports / Badminton/ Rackets;;Brands/Yonex/Rackets,YONEX,"Yonex Isometric - 4 Badminton Racquet

 Head Shape : Square/Isometric 
Series : Isometric
 Weight : 85 89.9 gms -3U",Yonex Isometric 4,,,,,,,1,100,Enabled,,,"Catalog,Search",,,YON00010.jpg,YON00010.jpg,YON00010.jpg,YON00010.jpg,"Yonex Isometric - 4 Badminton Racquet

 Head Shape : Square/Isometric 
Series : Isometric
 Weight : 85 89.9 gms -3U","Yonex Isometric 4,Yonex Rackets"
